feature,source,mean_abs_shap
vit_261,ViT,0.0027132824
cnn_1255,CNN,0.0026935383
cnn_1261,CNN,0.0026913167
cnn_47,CNN,0.0026871117
cnn_425,CNN,0.0026836828
cnn_664,CNN,0.0026767224
cnn_1083,CNN,0.0026618128
cnn_753,CNN,0.0026547646
cnn_1253,CNN,0.002652414
cnn_1098,CNN,0.0026521282
cnn_449,CNN,0.0026516614
cnn_142,CNN,0.0026506996
cnn_619,CNN,0.0026506304
cnn_588,CNN,0.0026392078
cnn_220,CNN,0.0026297239
cnn_1266,CNN,0.0026275523
vit_301,ViT,0.002627231
cnn_586,CNN,0.00262541
vit_234,ViT,0.0026242065
cnn_476,CNN,0.0026084075
cnn_634,CNN,0.0026042745
cnn_801,CNN,0.0025918477
cnn_1149,CNN,0.0025914914
vit_38,ViT,0.0025879687
cnn_932,CNN,0.0025877145
cnn_1248,CNN,0.0025743172
vit_24,ViT,0.002573814
cnn_140,CNN,0.0025682629
cnn_91,CNN,0.0025674137
cnn_173,CNN,0.0025673555
cnn_689,CNN,0.0025451097
cnn_617,CNN,0.0025374726
disc_cx,Handcrafted,0.0025311282
vit_252,ViT,0.0025199172
vit_295,ViT,0.0025103032
cnn_792,CNN,0.0025011909
vit_129,ViT,0.0024693639
cnn_1159,CNN,0.0024678481
cnn_12,CNN,0.0024445197
cnn_136,CNN,0.0024430323
vit_227,ViT,0.0024346109
cnn_257,CNN,0.0024341422
cnn_1204,CNN,0.0024313577
vit_162,ViT,0.002422835
vit_214,ViT,0.0023925332
cnn_670,CNN,0.0023916154
cnn_9,CNN,0.0023842356
cnn_776,CNN,0.0023727121
cnn_433,CNN,0.002364859
cnn_457,CNN,0.0023605418
cnn_589,CNN,0.0023567965
vit_243,ViT,0.0023482684
vit_275,ViT,0.0023451883
cnn_674,CNN,0.0023435093
cnn_1025,CNN,0.0023144595
cnn_659,CNN,0.0023133496
vit_137,ViT,0.0023105883
cnn_708,CNN,0.002290699
cnn_637,CNN,0.0022885334
cnn_175,CNN,0.002271532
vit_66,ViT,0.002267844
cnn_918,CNN,0.0022668485
vit_311,ViT,0.0022450045
cnn_661,CNN,0.0022153186
cnn_960,CNN,0.0021896113
cnn_889,CNN,0.0021714424
cnn_100,CNN,0.0021701374
cnn_810,CNN,0.0021636877
cnn_316,CNN,0.0021464108
vit_95,ViT,0.0021432322
cnn_1155,CNN,0.0021421707
cnn_1238,CNN,0.0021415048
vit_132,ViT,0.0021388433
vit_96,ViT,0.002128889
cnn_372,CNN,0.0021228895
cnn_419,CNN,0.0021007895
cnn_1127,CNN,0.0020931424
cnn_413,CNN,0.0020833737
std_intensity,Handcrafted,0.0020812019
vit_49,ViT,0.0020694565
cnn_148,CNN,0.002067952
cnn_1271,CNN,0.0020635063
cnn_329,CNN,0.0020634485
cnn_939,CNN,0.0020627743
cnn_916,CNN,0.00206144
cnn_234,CNN,0.0020561176
cnn_20,CNN,0.0020388148
cnn_945,CNN,0.0020348825
cnn_540,CNN,0.002014822
cnn_569,CNN,0.002012309
cnn_1004,CNN,0.0020028632
cnn_948,CNN,0.0019845725
cnn_894,CNN,0.0019802533
cnn_995,CNN,0.0019737901
cnn_88,CNN,0.0019470779
vit_42,ViT,0.0019389526
cnn_423,CNN,0.0019382627
cnn_1171,CNN,0.0019269907
cnn_1011,CNN,0.0019208187
cnn_249,CNN,0.0019142143
cnn_1068,CNN,0.0019067558
cnn_1132,CNN,0.0019014272
cnn_237,CNN,0.0018867005
cnn_1259,CNN,0.0018848042
cnn_851,CNN,0.0018791934
cnn_473,CNN,0.0018694497
cnn_931,CNN,0.0018680473
cnn_900,CNN,0.0018510073
cnn_1117,CNN,0.0018494757
cnn_750,CNN,0.0018442587
cnn_244,CNN,0.0018369358
cnn_731,CNN,0.0018328752
cnn_1039,CNN,0.0018308157
cnn_794,CNN,0.0018227927
cnn_982,CNN,0.0018164376
vit_356,ViT,0.0018098269
cnn_1057,CNN,0.0017734602
cnn_798,CNN,0.0017603172
vit_201,ViT,0.0017584596
cnn_963,CNN,0.0017581672
cnn_396,CNN,0.0017565567
cnn_1206,CNN,0.0017405739
vit_46,ViT,0.0017353178
cnn_1274,CNN,0.0017326678
vit_157,ViT,0.0017029971
cnn_64,CNN,0.0016945542
cnn_938,CNN,0.0016476394
cnn_1035,CNN,0.0016425713
vit_317,ViT,0.0016364428
vit_181,ViT,0.0015892641
cnn_361,CNN,0.0015782836
cnn_352,CNN,0.0015525332
cnn_1225,CNN,0.0015388271
vit_90,ViT,0.0015256943
cnn_551,CNN,0.0015242859
cnn_626,CNN,0.0015112552
cnn_628,CNN,0.0015079746
cnn_1085,CNN,0.0014767369
cnn_116,CNN,0.0014662239
cnn_337,CNN,0.0014575032
cnn_422,CNN,0.0014248558
vit_130,ViT,0.001423395
cnn_663,CNN,0.0014133991
cnn_730,CNN,0.0013918233
cnn_1246,CNN,0.0013338679
cnn_1209,CNN,0.0013084474
vit_72,ViT,0.0013068041
cnn_401,CNN,0.0012955478
cnn_1047,CNN,0.0012712579
cnn_847,CNN,0.0012581515
cnn_1160,CNN,0.001251442
cnn_1173,CNN,0.0012430262
cnn_662,CNN,0.0012413102
cnn_996,CNN,0.0012244004
cnn_150,CNN,0.0011951224
cnn_571,CNN,0.001172934
cnn_1054,CNN,0.0011632025
cnn_696,CNN,0.0011605801
cnn_678,CNN,0.0011311377
vit_89,ViT,0.0010984988
cnn_27,CNN,0.0010816496
cnn_258,CNN,0.0010666103
cnn_384,CNN,0.0010564874
cnn_927,CNN,0.0010464218
cnn_1021,CNN,0.001044474
cnn_912,CNN,0.0008704031
cnn_1273,CNN,0.0008121933
glcm_asm_45,Handcrafted,0.00015394963
glcm_asm_0,Handcrafted,0.0
